# extract, mg_gluta, K_gluta, aa, peg, hepes, trna, coa, nad, camp, folinic_acid, spemidin, pga, nucleo_mix, dna_high_high, dna_high_low, dna_low_high, dna_low_low, water
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0375,1.75,0,0,0,3.6175
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0125,0.0375,0.1125,0.0375,1.75,0,0,0,3.6175
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0375,1.75,0,0,0,3.6175
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0125,0.0375,0.1125,0.0375,1.75,0,0,0,3.6175
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0,0,0,3.6125
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0,0,0,3.6125
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0,0,0,3.6125
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0,0,0,3.5925
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0,0,0,3.5925
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0,0,0,3.5925
3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5675
3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5675
3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5675
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0625,0.0375,0.0375,0.0375,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0375,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0625,0.0375,0.0375,0.0375,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0375,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0625,0.0375,0.0375,0.0375,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0375,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0,0,0,3.5625
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0,0,0,3.5425
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5425
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0,0,0,3.5425
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5425
3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0,0,0,3.5425
3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5425
3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5175
3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5175
3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.5175
3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0,0,0,3.4
3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0,0,0,3.4
3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0,0,0,3.4
3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0,0,0,3.325
3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0,0,0,3.325
3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0,0,0,3.325
3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0,0,0,3.325
