Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA
9.0,0.0,1.5075,1.5,45.0,2.25,0.0,10.0
9.0,0.0,2.25,0.495,45.0,2.25,0.51,10.0
9.0,40.800000000000004,1.5075,1.5,45.0,2.25,0.0,10.0
9.0,0.0,1.5075,0.255,45.0,2.25,0.0,10.0
0.0,0.0,2.25,0.0,45.0,2.25,3.0,8.2
0.0,0.0,2.25,0.0,45.0,2.25,0.0,8.2
6.03,40.800000000000004,2.25,0.0,45.0,2.25,0.0,10.0
9.0,40.800000000000004,1.125,1.5,45.0,2.25,0.0,10.0
9.0,240.0,1.5075,1.5,45.0,2.25,0.0,10.0
9.0,0.0,2.25,1.0050000000000001,45.0,2.25,3.0,10.0
9.0,40.800000000000004,2.25,0.495,45.0,2.25,0.51,10.0
1.53,0.0,2.25,0.0,45.0,2.25,0.99,10.0
0.0,0.0,2.25,0.255,45.0,2.25,0.99,10.0
2.97,0.0,2.25,0.0,45.0,2.25,2.0100000000000002,10.0
1.53,0.0,2.25,0.0,45.0,2.25,3.0,8.2
9.0,0.0,2.25,0.0,45.0,2.25,1.5,8.2
9.0,0.0,2.25,1.5,0.0,2.25,3.0,10.0
9.0,0.0,2.25,0.255,45.0,2.25,3.0,8.2
0.0,0.0,2.25,0.255,45.0,2.25,1.5,10.0
0.0,240.0,2.25,1.5,45.0,0.0,3.0,10.0
4.5,0.0,2.25,0.0,45.0,2.25,3.0,8.2
9.0,0.0,1.5075,0.255,45.0,2.25,0.51,10.0
9.0,0.0,0.3825,0.255,45.0,2.25,0.0,10.0
0.0,0.0,2.25,1.0050000000000001,45.0,2.25,1.5,10.0
0.0,0.0,0.0,0.255,45.0,2.25,3.0,10.0
6.03,40.800000000000004,2.25,0.495,45.0,2.25,0.0,10.0
9.0,79.2,2.25,0.495,45.0,2.25,0.51,10.0
1.53,0.0,1.5075,0.0,45.0,2.25,0.0,10.0
1.53,40.800000000000004,2.25,0.255,45.0,2.25,0.0,10.0
2.97,120.0,2.25,1.5,45.0,2.25,0.0,10.0
9.0,0.0,0.3825,1.5,45.0,2.25,3.0,10.0
9.0,120.0,2.25,1.0050000000000001,45.0,2.25,0.51,10.0
6.03,0.0,2.25,0.0,45.0,2.25,0.51,8.2
9.0,240.0,2.25,1.0050000000000001,45.0,2.25,0.51,10.0
9.0,0.0,2.25,1.5,7.65,2.25,3.0,10.0
9.0,79.2,1.5075,1.5,45.0,2.25,0.51,10.0
1.53,40.800000000000004,2.25,0.495,45.0,2.25,0.0,10.0
4.5,40.800000000000004,2.25,1.5,45.0,2.25,0.51,10.0
6.03,40.800000000000004,2.25,0.255,45.0,2.25,0.51,10.0
9.0,0.0,1.5075,0.75,45.0,2.25,0.51,10.0
9.0,40.800000000000004,0.7425,1.5,45.0,2.25,0.51,10.0
9.0,40.800000000000004,1.5075,1.5,45.0,2.25,0.0,8.2
9.0,40.800000000000004,2.25,1.0050000000000001,45.0,2.25,3.0,10.0
1.53,0.0,2.25,0.75,45.0,2.25,0.99,10.0
0.0,40.800000000000004,2.25,0.255,45.0,2.25,1.5,10.0
0.0,0.0,0.3825,0.255,45.0,2.25,3.0,10.0
0.0,79.2,2.25,0.0,45.0,2.25,0.99,10.0
2.97,0.0,2.25,1.5,45.0,2.25,2.0100000000000002,10.0
0.0,0.0,2.25,1.5,7.65,0.7425,3.0,10.0
1.53,0.0,2.25,0.75,45.0,2.25,1.5,10.0
